2025-01-08 14:27:58,503 | ERROR    | 6372 | 17836 | document_processing.py:418 | _process_site_data | Failed to Process Site Data: max() iterable argument is empty
2025-01-08 14:27:58,507 | INFO     | 6372 | 17836 | document_processing.py:192 | _process_image | Validation and Processing Completed
2025-01-08 14:27:58,507 | WARNING  | 6372 | 17836 | document_processing.py:201 | _process_image | Invalid result received, retrying...
2025-01-08 14:27:58,508 | INFO     | 6372 | 17836 | document_processing.py:118 | _process_image | Image processing complete
2025-01-08 14:27:58,508 | INFO     | 6372 | 17836 | document_processing.py:121 | _process_image | LLM Processing Started
2025-01-08 14:27:58,509 | INFO     | 6372 | 17836 | document_processing.py:359 | _gemini_model | GEMINI CALL!
2025-01-08 14:28:06,926 | INFO     | 6372 | 17836 | document_processing.py:123 | _process_image | LLM Processing Completed
2025-01-08 14:28:06,926 | INFO     | 6372 | 17836 | document_processing.py:126 | _process_image | Validation and Processing Started
2025-01-08 14:28:07,003 | ERROR    | 6372 | 17836 | document_processing.py:418 | _process_site_data | Failed to Process Site Data: max() iterable argument is empty
2025-01-08 14:28:07,004 | INFO     | 6372 | 17836 | document_processing.py:192 | _process_image | Validation and Processing Completed
2025-01-08 14:28:07,004 | WARNING  | 6372 | 17836 | document_processing.py:201 | _process_image | Invalid result received, retrying...
2025-01-08 14:28:07,004 | INFO     | 6372 | 17836 | document_processing.py:118 | _process_image | Image processing complete
2025-01-08 14:28:07,004 | INFO     | 6372 | 17836 | document_processing.py:121 | _process_image | LLM Processing Started
2025-01-08 14:28:07,005 | INFO     | 6372 | 17836 | document_processing.py:359 | _gemini_model | GEMINI CALL!
2025-01-08 14:28:20,740 | INFO     | 6372 | 17836 | document_processing.py:123 | _process_image | LLM Processing Completed
2025-01-08 14:28:20,741 | INFO     | 6372 | 17836 | document_processing.py:126 | _process_image | Validation and Processing Started
2025-01-08 14:28:20,973 | INFO     | 6372 | 17836 | document_processing.py:192 | _process_image | Validation and Processing Completed
2025-01-08 14:28:20,974 | INFO     | 6372 | 17836 | document_processing.py:196 | _process_image | Document processed successfully
